19/03/10 11:39
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	17315	115260	    686279	    769539	  117	
未翻訳：        	13993	 79374	    481165	    540909	  117	
繰り返しを除いた：   	12148	 98950	    585602	    657703	  117	
繰り返しを除いた未翻訳：	10248	 68271	    412864	    464090	  117	


ファイルごとの翻訳状況：

ファイル名                                           	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
Mojo-Asset-File.txt                             	     74	    55	         72	            53	    421	   245	        412	           236	          2370	         1418	              2323	                 1371	          2648	         1583	              2597	                 1532	
Mojo-Asset-Memory.txt                           	     64	    48	         39	            30	    371	   199	        283	           131	          2099	         1167	              1598	                  802	          2359	         1318	              1799	                  902	
Mojo-Asset.txt                                  	     72	    58	         40	            34	    354	   250	        210	           134	          1995	         1413	              1241	                  836	          2257	         1618	              1402	                  952	
Mojo-Base.txt                                   	    153	   136	        119	           110	    978	   799	        876	           727	          5459	         4488	              4885	                 4104	          6204	         5111	              5573	                 4684	
Mojo-ByteStream.txt                             	    174	   129	        160	           123	    851	   456	        811	           444	          5682	         3272	              5423	                 3200	          6129	         3504	              5851	                 3426	
Mojo-Cache.txt                                  	     28	    18	         19	            16	    130	    76	        106	            72	           738	          421	               573	                  392	           818	          471	               643	                  440	
Mojo-Collection.txt                             	    162	   146	        137	           131	   1029	   943	        946	           900	          5980	         5430	              5476	                 5175	          6773	         6178	              6217	                 5888	
Mojo-Content-MultiPart.txt                      	     60	    44	         41	            32	    368	   193	        323	           168	          2301	         1276	              2005	                 1116	          2523	         1403	              2203	                 1227	
Mojo-Content-Single.txt                         	     61	    44	         34	            24	    399	   201	        312	           134	          2458	         1329	              1923	                  930	          2692	         1449	              2101	                 1002	
Mojo-Content.txt                                	    180	   161	        135	           123	    919	   712	        802	           615	          5910	         4732	              5179	                 4137	          6579	         5270	              5760	                 4595	
Mojo-Cookie-Request.txt                         	     24	    14	         13	            10	    118	    50	         90	            42	           723	          315	               532	                  260	           778	          337	               575	                  278	
Mojo-Cookie-Response.txt                        	     57	    45	         39	            34	    285	   167	        239	           141	          1862	         1119	              1553	                  946	          2051	         1239	              1723	                 1055	
Mojo-Cookie.txt                                 	     41	    29	         20	            16	    177	    92	        115	            54	          1068	          558	               688	                  338	          1178	          625	               763	                  380	
Mojo-Date.txt                                   	     66	    52	         49	            43	    380	   269	        338	           251	          2036	         1381	              1761	                 1266	          2214	         1505	              1920	                 1381	
Mojo-DOM-CSS.txt                                	    177	   158	        167	           156	   1396	  1165	       1350	          1161	          7321	         6143	              7051	                 6114	          8223	         6913	              7931	                 6882	
Mojo-DOM-HTML.txt                               	     42	    30	         27	            22	    271	   157	        219	           125	          1493	          854	              1180	                  677	          1665	          962	              1321	                  762	
Mojo-DOM.txt                                    	    463	   416	        405	           372	   3147	  2527	       2870	          2326	         17878	        14684	             16296	                13557	         19508	        15897	             17784	                14662	
Mojo-DynamicMethods.txt                         	     44	    33	         28	            24	    251	   172	        213	           154	          1539	         1076	              1269	                  942	          1727	         1212	              1436	                 1065	
Mojo-EventEmitter.txt                           	     80	    69	         55	            51	    317	   256	        274	           233	          1847	         1483	              1561	                 1333	          2076	         1677	              1762	                 1507	
Mojo-Exception.txt                              	     84	    67	         65	            57	    415	   295	        363	           267	          2495	         1751	              2166	                 1584	          2811	         1993	              2455	                 1809	
Mojo-File.txt                                   	    221	   185	        177	           152	   1178	   773	       1054	           689	          6748	         4698	              6006	                 4202	          7482	         5156	              6674	                 4610	
Mojo-Headers.txt                                	    301	   273	        279	           258	   1858	  1433	       1807	          1402	         12820	        10308	             12471	                10095	         14197	        11433	             13823	                11203	
Mojo-HelloWorld.txt                             	     19	     9	         10	             7	     88	    31	         64	            27	           560	          197	               395	                  168	           609	          215	               434	                  184	
Mojo-Home.txt                                   	     26	    15	         17	            13	    144	    71	        120	            67	           828	          429	               664	                  401	           916	          475	               742	                  445	
Mojo-IOLoop-Client.txt                          	    108	    92	         81	            72	    514	   352	        462	           320	          3099	         2179	              2738	                 1954	          3460	         2446	              3067	                 2197	
Mojo-IOLoop-Delay.txt                           	    138	   121	         79	            69	    770	   529	        645	           424	          4295	         3062	              3511	                 2414	          4860	         3457	              4004	                 2745	
Mojo-IOLoop-Server.txt                          	    113	    98	         66	            59	    507	   374	        376	           280	          3099	         2311	              2270	                 1714	          3437	         2577	              2526	                 1918	
Mojo-IOLoop-Stream.txt                          	    118	   103	         62	            55	    509	   379	        384	           291	          3035	         2305	              2232	                 1734	          3396	         2592	              2510	                 1958	
Mojo-IOLoop-Subprocess.txt                      	    102	    83	         60	            48	    480	   257	        406	           203	          3026	         1762	              2509	                 1381	          3385	         1961	              2817	                 1537	
Mojo-IOLoop-TLS.txt                             	     86	    71	         31	            26	    394	   268	        212	           146	          2463	         1720	              1219	                  862	          2725	         1914	              1370	                  975	
